时间,UNIT3:LAE11CG101XQ01数值,UNIT3:LAE11CG101XQ01状态,UNIT3:LAE12CG101XQ01数值,UNIT3:LAE12CG101XQ01状态,UNIT3:LAE13CG101XQ01数值,UNIT3:LAE13CG101XQ01状态,UNIT3:LAE14CG101XQ01数值,UNIT3:LAE14CG101XQ01状态,UNIT3:LAE21CG101XQ01数值,UNIT3:LAE21CG101XQ01状态,UNIT3:LAE22CG101XQ01数值,UNIT3:LAE22CG101XQ01状态,UNIT3:LAE23CG101XQ01数值,UNIT3:LAE23CG101XQ01状态,UNIT3:LAE24CG101XQ01数值,UNIT3:LAE24CG101XQ01状态,
	2016-3-17 03:12:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:13:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:14:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:15:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:16:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:17:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:18:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:19:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:20:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:21:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:22:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:23:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:24:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:25:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:26:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:27:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:28:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:29:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:30:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:31:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:32:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:33:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:34:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:35:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:36:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:37:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:38:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:39:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:40:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:41:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:42:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:43:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:44:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:45:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:46:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:47:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:48:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:49:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:50:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:51:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:52:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:53:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:54:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:55:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:56:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:57:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:58:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 03:59:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:00:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:01:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:02:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:03:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:04:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:05:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:06:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:07:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:08:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:09:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:10:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:11:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:12:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:13:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:14:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:15:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:16:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:17:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:18:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:19:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:20:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:21:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:22:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:23:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:24:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:25:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:26:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:27:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:28:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:29:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:30:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:31:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:32:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:33:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:34:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:35:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:36:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:37:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:38:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:39:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:40:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:41:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:42:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:43:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:44:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:45:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:46:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:47:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:48:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:49:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:50:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:51:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:52:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:53:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:54:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:55:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:56:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:57:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:58:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 04:59:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:00:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:01:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:02:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:03:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:04:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:05:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:06:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:07:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:08:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:09:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:10:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:11:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:12:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:13:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:14:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:15:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:16:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:17:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:18:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:19:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:20:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:21:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:22:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:23:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:24:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:25:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:26:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:27:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:28:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:29:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:30:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:31:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:32:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:33:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:34:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:35:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:36:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:37:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:38:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:39:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:40:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:41:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:42:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:43:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:44:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:45:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:46:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:47:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:48:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:49:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:50:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:51:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:52:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:53:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:54:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:55:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:56:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:57:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:58:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 05:59:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:00:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:01:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:02:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:03:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:04:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:05:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:06:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:07:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:08:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:09:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:10:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:11:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:12:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:13:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:14:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:15:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:16:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:17:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:18:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:19:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:20:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:21:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:22:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:23:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:24:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:25:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:26:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:27:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:28:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:29:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:30:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:31:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:32:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:33:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:34:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:35:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:36:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:37:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:38:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:39:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:40:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:41:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:42:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:43:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:44:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:45:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:46:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:47:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:48:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:49:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:50:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:51:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:52:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:53:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:54:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:55:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:56:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:57:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:58:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 06:59:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:00:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:01:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:02:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:03:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:04:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:05:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:06:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:07:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:08:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:09:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:10:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:11:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:12:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:13:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:14:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:15:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:16:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:17:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:18:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:19:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:20:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:21:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:22:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:23:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:24:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:25:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:26:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:27:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:28:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:29:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:30:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:31:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:32:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:33:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:34:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:35:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:36:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:37:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:38:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:39:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:40:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:41:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:42:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:43:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:44:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:45:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:46:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:47:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:48:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:49:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:50:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:51:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:52:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:53:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:54:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:55:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:56:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:57:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:58:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 07:59:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 08:00:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
	2016-3-17 08:01:00,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
